2016-12-03 10:26:46,960 INFO  [default] Starting Program :ansicon

2016-12-03 10:26:49,968 INFO  [default] Current Step is: login and it's parameters are : .*login.*|anilcha|password|END
2016-12-03 10:26:49,984 INFO  [default] Checking : '.*login.*' with prompt ''

2016-12-03 10:26:50,027 INFO  [default] Prompt did not match..re-trying to reach max time 25 , trial : 1

2016-12-03 10:26:51,028 INFO  [default] Sleeping for one second ...

2016-12-03 10:26:51,038 INFO  [default] Checking : '.*login.*' with prompt ''

2016-12-03 10:26:51,040 INFO  [default] Prompt did not match..re-trying to reach max time 25 , trial : 2

2016-12-03 10:26:52,040 INFO  [default] Sleeping for one second ...

2016-12-03 10:26:52,051 INFO  [default] Checking : '.*login.*' with prompt ''

2016-12-03 10:26:52,053 INFO  [default] Prompt did not match..re-trying to reach max time 25 , trial : 3

2016-12-03 10:26:53,053 INFO  [default] Sleeping for one second ...

2016-12-03 10:26:53,064 INFO  [default] Checking : '.*login.*' with prompt ''

2016-12-03 10:26:53,065 INFO  [default] Prompt did not match..re-trying to reach max time 25 , trial : 4

2016-12-03 10:26:54,065 INFO  [default] Sleeping for one second ...

2016-12-03 10:26:54,077 INFO  [default] Checking : '.*login.*' with prompt ''

2016-12-03 10:26:54,078 INFO  [default] Prompt did not match..re-trying to reach max time 25 , trial : 5

2016-12-03 10:26:55,079 INFO  [default] Sleeping for one second ...

2016-12-03 10:26:55,089 INFO  [default] Checking : '.*login.*' with prompt ''

2016-12-03 10:26:55,090 INFO  [default] Prompt did not match..re-trying to reach max time 25 , trial : 6

2016-12-03 10:26:56,090 INFO  [default] Sleeping for one second ...

2016-12-03 10:26:56,103 INFO  [default] Checking : '.*login.*' with prompt ''

2016-12-03 10:26:56,105 INFO  [default] Prompt did not match..re-trying to reach max time 25 , trial : 7

2016-12-03 10:26:57,105 INFO  [default] Sleeping for one second ...

2016-12-03 10:26:57,116 INFO  [default] Checking : '.*login.*' with prompt ''

2016-12-03 10:26:57,118 INFO  [default] Prompt did not match..re-trying to reach max time 25 , trial : 8

2016-12-03 10:26:58,118 INFO  [default] Sleeping for one second ...

2016-12-03 10:26:58,129 INFO  [default] Checking : '.*login.*' with prompt ''

2016-12-03 10:26:58,131 INFO  [default] Prompt did not match..re-trying to reach max time 25 , trial : 9

2016-12-03 10:26:59,132 INFO  [default] Sleeping for one second ...

2016-12-03 10:26:59,145 INFO  [default] Checking : '.*login.*' with prompt ''

2016-12-03 10:26:59,147 INFO  [default] Prompt did not match..re-trying to reach max time 25 , trial : 10

2016-12-03 10:27:00,146 INFO  [default] Sleeping for one second ...

2016-12-03 10:27:00,158 INFO  [default] Checking : '.*login.*' with prompt ''

2016-12-03 10:27:00,159 INFO  [default] Prompt did not match..re-trying to reach max time 25 , trial : 11

2016-12-03 10:27:01,160 INFO  [default] Sleeping for one second ...

2016-12-03 10:27:01,171 INFO  [default] Checking : '.*login.*' with prompt ''

2016-12-03 10:27:01,173 INFO  [default] Prompt did not match..re-trying to reach max time 25 , trial : 12

2016-12-03 10:27:02,173 INFO  [default] Sleeping for one second ...

2016-12-03 10:27:02,185 INFO  [default] Checking : '.*login.*' with prompt ''

2016-12-03 10:27:02,186 INFO  [default] Prompt did not match..re-trying to reach max time 25 , trial : 13

2016-12-03 10:27:03,187 INFO  [default] Sleeping for one second ...

2016-12-03 10:27:03,199 INFO  [default] Checking : '.*login.*' with prompt ''

2016-12-03 10:27:03,200 INFO  [default] Prompt did not match..re-trying to reach max time 25 , trial : 14

2016-12-03 10:27:04,201 INFO  [default] Sleeping for one second ...

2016-12-03 10:27:04,212 INFO  [default] Checking : '.*login.*' with prompt ''

2016-12-03 10:27:04,214 INFO  [default] Prompt did not match..re-trying to reach max time 25 , trial : 15

2016-12-03 10:27:05,214 INFO  [default] Sleeping for one second ...

2016-12-03 10:27:05,226 INFO  [default] Checking : '.*login.*' with prompt ''

2016-12-03 10:27:05,227 INFO  [default] Prompt did not match..re-trying to reach max time 25 , trial : 16

2016-12-03 10:27:06,227 INFO  [default] Sleeping for one second ...

2016-12-03 10:27:06,238 INFO  [default] Checking : '.*login.*' with prompt ''

2016-12-03 10:27:06,239 INFO  [default] Prompt did not match..re-trying to reach max time 25 , trial : 17

2016-12-03 10:27:07,239 INFO  [default] Sleeping for one second ...

2016-12-03 10:27:07,250 INFO  [default] Checking : '.*login.*' with prompt ''

2016-12-03 10:27:07,251 INFO  [default] Prompt did not match..re-trying to reach max time 25 , trial : 18

2016-12-03 10:27:08,252 INFO  [default] Sleeping for one second ...

2016-12-03 10:27:08,263 INFO  [default] Checking : '.*login.*' with prompt ''

2016-12-03 10:27:08,264 INFO  [default] Prompt did not match..re-trying to reach max time 25 , trial : 19

